,Unnamed: 0,TrialIndex,StimType,Order,Delay,ScannerRun,TripletMemberA,TripletMemberB,TripletMemberC,Xcoordinate,Ycoordinate,Xcoordinate_lure1,Ycoordinate_lure1,Xcoordinate_lure2,Ycoordinate_lure2,Xcoordinate_foil,Ycoordinate_foil,Fill
100,100,101,ERP,2,0,2,,,,-242.705098312484,176.335575687742,-163.391710504508,251.60117038362702,-289.77774788672,77.6457135307563,-163.391710504508,251.60117038362702,
101,101,102,ERP,2,0,2,,,,-233.143788437091,188.79611731495098,-298.356568610482,-31.358538980295897,-289.77774788672,77.6457135307563,-298.356568610482,-31.358538980295897,
102,102,103,ERP,2,0,2,,,,-222.943447643218,200.739181907658,-285.316954888546,92.7050983124843,-163.391710504508,251.60117038362702,-285.316954888546,92.7050983124843,
103,103,104,ERP,2,0,2,,,,-251.60117038362702,163.391710504508,-293.444280220142,62.3735072453279,-289.77774788672,77.6457135307563,-293.444280220142,62.3735072453279,
104,104,105,BL,0,0,2,,,,259.8076211,150.0,,,,,,,
105,105,106,OLP,1,5,2,,,,-259.807621135332,150.0,-77.64571353075621,289.77774788672,-300.0,3.67394039744206e-14,-77.64571353075621,289.77774788672,
106,106,107,LLP,1,6,2,,,,-267.30195725651004,136.197149921864,-293.444280220142,-62.3735072453277,-289.77774788672,77.6457135307563,-293.444280220142,-62.3735072453277,
107,107,108,ERP,1,4,2,,,,-274.06363729278,122.02099292273998,-136.197149921864,267.30195725651004,-200.739181907657,222.943447643218,-136.197149921864,267.30195725651004,
108,108,109,LLP,1,8,2,,,,-280.07412794916,107.51038486359,-299.588860426372,15.7007868728833,-298.356568610482,-31.358538980295897,-299.588860426372,15.7007868728833,
109,109,110,OLP,1,8,2,,,,-285.316954888546,92.7050983124843,-200.739181907657,222.943447643218,-242.705098312484,176.335575687742,-200.739181907657,222.943447643218,
110,110,111,ERP,1,4,2,,,,-289.77774788672,77.6457135307563,-298.356568610482,31.358538980296107,-251.60117038362702,163.391710504508,-298.356568610482,31.358538980296107,
111,111,112,OLP,2,0,2,,,,-259.807621135332,150.0,-77.64571353075621,289.77774788672,-300.0,3.67394039744206e-14,-77.64571353075621,289.77774788672,
112,112,113,ERP,2,0,2,,,,-274.06363729278,122.02099292273998,-136.197149921864,267.30195725651004,-200.739181907657,222.943447643218,-136.197149921864,267.30195725651004,
113,113,114,LLP,2,0,2,,,,-267.30195725651004,136.197149921864,-293.444280220142,-62.3735072453277,-289.77774788672,77.6457135307563,-293.444280220142,-62.3735072453277,
114,114,115,ERP,1,5,2,,,,-293.444280220142,62.3735072453279,-298.356568610482,-31.358538980295897,-267.30195725651004,-136.197149921864,-298.356568610482,-31.358538980295897,
115,115,116,ERP,2,0,2,,,,-289.77774788672,77.6457135307563,-298.356568610482,31.358538980296107,-251.60117038362702,163.391710504508,-298.356568610482,31.358538980296107,
116,116,117,ERP,1,6,2,,,,-296.306502178541,46.9303395120693,-233.143788437091,188.79611731495098,-280.074127949161,-107.51038486359,-233.143788437091,188.79611731495098,
117,117,118,LLP,2,0,2,,,,-280.07412794916,107.51038486359,-299.588860426372,15.7007868728833,-298.356568610482,-31.358538980295897,-299.588860426372,15.7007868728833,
118,118,119,OLP,2,0,2,,,,-285.316954888546,92.7050983124843,-200.739181907657,222.943447643218,-242.705098312484,176.335575687742,-200.739181907657,222.943447643218,
119,119,120,OLP,1,2,2,,,,-298.356568610482,31.358538980296107,-289.777747886721,-77.6457135307561,-267.30195725651004,136.197149921864,-289.777747886721,-77.6457135307561,
120,120,121,ERP,2,0,2,,,,-293.444280220142,62.3735072453279,-298.356568610482,-31.358538980295897,-267.30195725651004,-136.197149921864,-298.356568610482,-31.358538980295897,
121,121,122,OLP,1,2,2,,,,-299.588860426372,15.7007868728833,-233.143788437091,188.79611731495098,-242.705098312484,176.335575687742,-233.143788437091,188.79611731495098,
122,122,123,OLP,2,0,2,,,,-298.356568610482,31.358538980296107,-289.777747886721,-77.6457135307561,-267.30195725651004,136.197149921864,-289.777747886721,-77.6457135307561,
123,123,124,ERP,2,0,2,,,,-296.306502178541,46.9303395120693,-233.143788437091,188.79611731495098,-280.074127949161,-107.51038486359,-233.143788437091,188.79611731495098,
124,124,125,OLP,2,0,2,,,,-299.588860426372,15.7007868728833,-233.143788437091,188.79611731495098,-242.705098312484,176.335575687742,-233.143788437091,188.79611731495098,
125,125,126,BL,0,0,2,,,,259.8076211,150.0,,,,,,,
126,126,127,ERP,1,8,2,,,,-300.0,3.67394039744206e-14,-259.807621135332,-150.0,-222.943447643218,-200.739181907657,-259.807621135332,-150.0,
127,127,128,LLP,1,2,2,,,,-299.588860426372,-15.7007868728831,-242.705098312484,176.335575687742,-293.444280220142,-62.3735072453277,-242.705098312484,176.335575687742,
128,128,129,LLP,1,4,2,,,,-298.356568610482,-31.358538980295897,-274.06363729278,-122.02099292273998,-280.074127949161,-107.51038486359,-274.06363729278,-122.02099292273998,
129,129,130,ERP,1,6,2,,,,-296.306502178541,-46.9303395120692,-299.588860426372,15.7007868728833,-280.074127949161,-107.51038486359,-299.588860426372,15.7007868728833,
130,130,131,LLP,2,0,2,,,,-299.588860426372,-15.7007868728831,-242.705098312484,176.335575687742,-293.444280220142,-62.3735072453277,-242.705098312484,176.335575687742,
131,131,132,ERP,1,8,2,,,,-293.444280220142,-62.3735072453277,-296.306502178541,46.9303395120693,-296.306502178541,46.9303395120693,-296.306502178541,46.9303395120693,
132,132,133,OLP,1,5,2,,,,-289.777747886721,-77.6457135307561,-296.306502178541,46.9303395120693,-188.79611731495098,-233.143788437091,-296.306502178541,46.9303395120693,
133,133,134,LLP,2,0,2,,,,-298.356568610482,-31.358538980295897,-274.06363729278,-122.02099292273998,-280.074127949161,-107.51038486359,-274.06363729278,-122.02099292273998,
134,134,135,LLP,1,6,2,,,,-285.316954888546,-92.70509831248421,-136.197149921864,-267.30195725651004,-299.588860426372,15.7007868728833,-136.197149921864,-267.30195725651004,
135,135,136,ERP,2,0,2,,,,-300.0,3.67394039744206e-14,-259.807621135332,-150.0,-222.943447643218,-200.739181907657,-259.807621135332,-150.0,
136,136,137,ERP,2,0,2,,,,-296.306502178541,-46.9303395120692,-299.588860426372,15.7007868728833,-280.074127949161,-107.51038486359,-299.588860426372,15.7007868728833,
