,Xcoordinate,Ycoordinate,Xcoordinate_lure1,Ycoordinate_lure1,Xcoordinate_lure2,Ycoordinate_lure2,Xcoordinate_foil,Ycoordinate_foil,Lure1_Distance,Lure1_Index,Lure2_Distance,Lure2_Index,Foil_Distance,Foil_Index
99,136.197149921864,-267.30195725651004,77.6457135307561,-289.777747886721,77.6457135307561,-289.777747886721,77.6457135307561,-289.777747886721,-4,95,-9,90,60,39
100,150.0,-259.807621135332,92.70509831248421,-285.316954888546,92.70509831248421,-285.316954888546,92.70509831248421,-285.316954888546,-4,96,15,115,61,41
101,163.391710504508,-251.60117038362702,46.9303395120692,-296.306502178541,46.9303395120692,-296.306502178541,46.9303395120692,-296.306502178541,-8,93,7,108,62,43
102,176.335575687742,-242.705098312484,285.316954888546,-92.7050983124843,285.316954888546,-92.7050983124843,285.316954888546,-92.7050983124843,12,114,3,105,59,41
103,188.79611731495098,-233.143788437091,242.705098312484,-176.335575687742,242.705098312484,-176.335575687742,242.705098312484,-176.335575687742,5,108,11,114,59,42
104,200.739181907657,-222.943447643218,46.9303395120692,-296.306502178541,46.9303395120692,-296.306502178541,46.9303395120692,-296.306502178541,-11,93,-4,100,60,44
105,212.132034355964,-212.132034355964,293.444280220142,-62.373507245328,293.444280220142,-62.373507245328,293.444280220142,-62.373507245328,11,116,-13,92,58,43
106,222.943447643218,-200.739181907658,280.07412794916,-107.51038486359,280.07412794916,-107.51038486359,280.07412794916,-107.51038486359,7,113,15,1,61,47
107,233.143788437091,-188.79611731495098,267.30195725651004,-136.197149921864,267.30195725651004,-136.197149921864,267.30195725651004,-136.197149921864,4,111,-11,96,61,48
108,242.705098312484,-176.335575687742,150.0,-259.807621135332,150.0,-259.807621135332,150.0,-259.807621135332,-8,100,12,120,59,47
109,251.60117038362702,-163.391710504508,136.197149921864,-267.30195725651004,136.197149921864,-267.30195725651004,136.197149921864,-267.30195725651004,-10,99,-7,102,59,48
110,259.807621135331,-150.0,92.70509831248421,-285.316954888546,92.70509831248421,-285.316954888546,92.70509831248421,-285.316954888546,-14,96,13,3,61,51
111,267.30195725651004,-136.197149921864,242.705098312484,-176.335575687742,242.705098312484,-176.335575687742,242.705098312484,-176.335575687742,-3,108,15,6,60,51
112,274.06363729278,-122.02099292273998,150.0,-259.807621135332,150.0,-259.807621135332,150.0,-259.807621135332,-12,100,4,116,60,52
113,280.07412794916,-107.51038486359,293.444280220142,62.373507245327794,293.444280220142,62.373507245327794,293.444280220142,62.373507245327794,11,4,-10,103,61,54
114,285.316954888546,-92.7050983124843,222.943447643218,-200.739181907658,222.943447643218,-200.739181907658,222.943447643218,-200.739181907658,-8,106,-15,99,61,55
115,289.77774788672,-77.6457135307565,176.335575687742,-242.705098312484,176.335575687742,-242.705098312484,176.335575687742,-242.705098312484,-13,102,15,10,60,55
116,293.444280220142,-62.373507245328,299.588860426372,15.7007868728831,299.588860426372,15.7007868728831,299.588860426372,15.7007868728831,5,1,-4,112,61,57
117,296.306502178541,-46.9303395120693,222.943447643218,-200.739181907658,222.943447643218,-200.739181907658,222.943447643218,-200.739181907658,-11,106,-14,103,62,59
118,298.356568610482,-31.358538980296302,274.06363729278,-122.02099292273998,274.06363729278,-122.02099292273998,274.06363729278,-122.02099292273998,-6,112,-7,111,60,58
119,299.588860426372,-15.7007868728833,285.316954888546,-92.7050983124843,285.316954888546,-92.7050983124843,285.316954888546,-92.7050983124843,-5,114,14,13,62,61
120,300.0,-7.34788079488412e-14,280.07412794916,-107.51038486359,280.07412794916,-107.51038486359,280.07412794916,-107.51038486359,-7,113,12,12,61,61
